ID,address,price,neighbourhood,style, bedrooms, bathrooms,Levels,Area,Year,property_type
421554,35,360,3,0,3,2,2,1287,2007,1
578750,76,480,3,0,4,3,2,1485.42,2012,1
716995,50,749,4,1,3,2,2,1620,1912,1
691475,62,339,6,1,3,2,2,1080,1964,1
653638,78,525,0,2,4,3,1,1300,1960,1
711418,70,665,0,2,4,2,2,4929.87,1957,1
624182,61,788,0,2,5,3,2,7299.01,1956,1
714354,43,349,5,2,3,2,1,1573,1952,1
716410,18,379,5,2,4,2,1,947,1951,1
715056,33,425,5,2,1,1,1,977.9,1955,1
714096,42,450,5,2,5,1,1,1080,1940,0
705869,31,1195,9,2,3,2,3,1800,1956,0
465092,55,189,6,2,2,1,1,925.7,2008,0
710671,68,263,1,3,2,1,8,854.65,2009,0
700889,1,399,0,3,2,1,1,1107,1932,0
716421,38,239,2,3,1,1,1,550,2013,0
618016,28,319,2,3,1,1,1,690,2013,0
713480,75,392,2,3,2,1,1,744,2012,0
706975,26,275,3,3,2,1,1,1137,2012,0
558737,85,338,3,3,2,1,3,1098,2005,0
421962,25,348,3,3,2,1,4,1013,2007,0
641529,73,355,3,3,3,1,2,1385,2004,0
655546,15,365,3,3,3,1,1,1301,2013,0
678870,59,339,4,3,2,1,1,980,2003,0
713812,23,225,5,3,2,1,1,750,1910,0
705279,6,270,5,3,2,1,1,920,2003,0
712388,29,338,5,3,5,2,2,1724.38,1925,0
715246,52,625,5,3,3,1,3,1860,2016,0
713812,24,2245,5,3,2,1,1,750,1910,0
354943,54,335,9,3,2,1,3,915,1944,0
696970,66,229,6,3,2,1,1,899.86,2013,0
602000,56,238,6,3,2,1,1,927,2013,0
394757,34,290,6,3,2,1,3,1175,1976,0
709588,84,455,7,3,2,1,1,1145,2012,0
710673,72,519,7,3,2,1,1,1125,1925,0
716424,14,560,7,3,2,1,1,1194,1927,0
710475,13,568,7,3,2,1,1,1420,1927,0
596747,9,574,7,3,2,1,1,1260,1928,0
712484,58,585,7,3,3,1,1,1200,1909,0
630035,80,695,7,3,5,2,2,2200,1925,0
677008,83,785,7,3,5,2,1,2338,1928,0
696922,39,979,7,3,3,3,3,2200,1976,0
616348,49,1679,7,3,5,2,2,1300,1913,0
715645,53,289,8,3,2,2,1,847.12,1998,0
450016,3,335,8,3,2,1,1,812,2005,0
701403,16,343,8,3,1,1,1,775,2016,0
714601,71,388,8,3,3,1,1,1235,1987,0
714757,16,399,8,3,2,2,1,887,2016,0
714752,65,544,8,3,3,2,1,1101,2010,0
701400,16,548,8,3,2,2,1,1209,2016,0
434822,51,650,1,4,6,3,2,3049.75,1951,0
714903,45,1375,1,4,4,2,2,2600,1923,0
714678,32,1470,1,4,9,4,2,1770.72,1930,0
696799,48,835,4,4,4,2,2,1346,1929,0
712875,81,275,2,5,1,1,1,560,2011,0
647610,8,275,2,5,1,1,1,530,2014,0
699119,4,234,4,5,1,1,1,600,2008,0
717076,47,449,4,5,1,1,1,928.93,2001,0
715446,46,1279,4,5,4,3,2,1937.5,1902,0
713813,20,262,5,5,2,1,1,1100,2008,0
713813,27,262,5,5,2,1,1,1100,2008,0
699487,5,299,6,5,1,1,1,960,1988,0
696692,21,224,1,6,2,1,1,865,2016,0
711421,19,264,1,6,2,1,1,918,2016,0
697654,7,452,1,6,2,2,1,1085,2016,0
714585,36,189,0,6,1,1,1,515,2009,0
714531,87,221,2,6,1,1,1,576,2015,0
714528,88,235,2,6,1,1,1,603,2016,0
714044,91,348,2,6,2,2,6,848,2016,0
714534,90,363,2,6,2,1,1,856,2015,0
716810,92,383,2,6,2,1,5,1000,2016,0
714535,89,412,2,6,2,1,1,984,2015,0
713771,79,359,3,6,2,2,1,1115,2016,0
617641,86,1763,4,6,1,1,4,578,2016,0
710883,11,235,9,6,2,1,7,861,2015,0
659203,30,360,9,6,2,2,7,977,2016,0
702955,0,120,0,7,1,1,1,506,2008,0
673718,2,290,2,7,2,1,1,806,1985,0
636952,40,390,2,7,2,1,1,875,2014,0
578710,74,529,3,7,2,2,1,1270,2012,0
707003,22,255,4,7,1,1,1,611,1996,0
420134,57,359,6,7,3,2,1,1350,1882,0
716608,82,339,8,7,1,1,1,660,2013,0
674451,69,575,1,8,5,2,2,880,1949,1
697870,67,460,0,8,2,1,1,607.08,1950,1
509235,10,259,9,8,1,1,1,731,2013,1
457060,44,489,9,8,6,2,,2585.49,1963,1
558602,37,390,3,9,2,2,4,1059,2009,1
684755,77,482,3,9,2,1,1,1505,1993,1
623540,17,599,3,9,4,2,2,1792.19,2012,1
714837,64,388,5,9,3,1,3,1473,2013,1
691099,41,379,9,9,3,2,1,1227,1965,1
461148,12,330,6,9,3,1,2,2000,2004,1
626315,63,435,7,9,3,1,1,1360,1914,1
410127,60,1895,7,9,5,3,2,5000,1913,1
