independent,regression,score,metric,aic
bathrooms + Area + Year,Poly OLS (deg 2),0.35889811965634155,Adj R²,1097.572130594086
bathrooms + Year,Poly OLS (deg 2),0.355974414920616,Adj R²,1094.3729729749416
address + bathrooms + Year,Poly OLS (deg 2),0.35277668290272113,Adj R²,1098.4749164266575
style + bathrooms + Year,Poly OLS (deg 2),0.34938321317921905,Adj R²,1098.9717116134173
neighbourhood + bathrooms + Year,Poly OLS (deg 2),0.34925406461002895,Adj R²,1098.9905674080453
address + Area + Year,Poly OLS (deg 2),0.34349852108529855,Adj R²,1099.827104029843
bathrooms + Year,Poly Lasso (deg 2),0.34308913309838385,Adj R²,1096.2549124076434
bathrooms + Area + Year,Poly Lasso (deg 2),0.3421065133938992,Adj R²,1100.028323273056
bathrooms + Year + property_type,Linear,0.34103227928210067,Adj R²,1094.6631002210484
bedrooms + Area + Year,Poly OLS (deg 2),0.3375683826511423,Adj R²,1100.6813807920323
neighbourhood + bathrooms + Year,Poly Lasso (deg 2),0.3371702162952821,Adj R²,1100.7384650848592
address + bathrooms + Year,Poly Lasso (deg 2),0.3361648043673795,Adj R²,1100.8824564510655
bedrooms + bathrooms + Year,Poly OLS (deg 2),0.333768919757492,Adj R²,1101.2247089962939
bathrooms + Area + Year,Linear,0.3325387929316366,Adj R²,1095.879738692286
style + bathrooms + Year,Poly Lasso (deg 2),0.3324779505573119,Adj R²,1101.4086142626995
Area + Year,Poly OLS (deg 2),0.3307383525017994,Adj R²,1098.024453048878
bathrooms + Year,Linear,0.3305775651831888,Adj R²,1095.196733356469
bathrooms + Year + property_type,Poly OLS (deg 2),0.3304424890245474,Adj R²,1101.6978550838319
address + bathrooms + Year,Linear,0.3284738139468697,Adj R²,1096.4565539661633
style + Area + Year,Poly OLS (deg 2),0.32782739325895727,Adj R²,1102.068174582566
neighbourhood + Area + Year,Poly OLS (deg 2),0.32639341849567116,Adj R²,1102.2706263001403
style + bathrooms + Year,Linear,0.3261725468440926,Adj R²,1096.7815548902533
bathrooms + Year,Poly Ridge (deg 2),0.3260193104411866,Adj R²,1098.6919585730923
neighbourhood + bathrooms + Year,Poly Ridge (deg 2),0.32583157857554423,Adj R²,1102.3498306115243
bathrooms + Area + Year,Poly Ridge (deg 2),0.3242590492003039,Adj R²,1102.5711645192628
bedrooms + bathrooms + Year,Linear,0.3240414170219388,Adj R²,1097.0815394743497
neighbourhood + bathrooms + Year,Linear,0.32357883366027185,Adj R²,1097.1465292393834
